trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-10.501124606290075,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",30,0,6.305046118010227,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,1,-44.312835309153655,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,12,3.0788429375326136,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3198190218163039}",25,0,-31.324099085031524,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.3166367693790532}",20,16,7.675287791260294,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826054}",20,0,6.1952313901855955,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,17,-2.6482225261096377,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,12,-23.904212637981736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,8,-32.24834196801084,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,14,10.149180050284029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,0,-19.059441698898343,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",30,22,12.866553416166894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,8,-19.38735127022928,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.28938421793905067}",20,0,-58.54749974403032,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.28650479686019015}",30,8,-54.235621175128074,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,8,-11.68200121266252,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",25,4,-3.3858712403550024,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,5,27.9328369794611,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,14,11.909941078264207,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,0,-127.9168737146115,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.26982005638468687}",20,6,-33.76804009250017,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2671353019658504}",30,21,3.114797107528794,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,0,10.724494405970969,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,15,8.616786924835067,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,0,-3.6437307165567834,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,9,-0.726224403516468,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,0,2.646249475170723,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
